	libAIAI_gt_DEBUGSetAIBuild									"-AISetBuild"
	libSprt_gt_DEBUGRefreshCooldownscdr							"-cdr"
	libSprt_gt_DEBUGRefreshCooldownscdr							"cdr"
	libSprt_gt_DEBUGDefeatdebugdefeat							"debug-defeat"
	libSprt_gt_DEBUGUpvotedebugupvote							"debug-upvote"
	libSprt_gt_DEBUGTiedebugtie									"debug-tie"
	libSprt_gt_DEBUGToggleHeroAItogheroai						"togheroai"
	libSprt_gt_DEBUGStopAIThinkTree								"stopthinktree"
	libSprt_gt_DEBUGStartAIThinkTree							"startthinktree"
	libSprt_gt_DEBUGStopRegenstopregen							"stopregen"
	libSprt_gt_DEBUGStopHealthRegenForAllPlayersnoregen			"noregen"
	libSprt_gt_DEBUGToggleCoreShieldMechanictogcoreshield		"togcoreshield"
	libSprt_gt_DEBUGToggleDebugOutputtogdebug					"togdebug"
	libSprt_gt_DEBUGToggleForCinematicstogcine					"togcine"
	libSprt_gt_DEBUGToggleForMapTexttogmaptext					"togmaptext"
	libSprt_gt_DEBUGTurnOffWeather								"stopfog"
	libSprt_gt_DEBUGTurnOnMinionSpellResist						"-reducespelldamage"
	libSprt_gt_DEBUGTurnOnMinionSpellResist						"-waveclear"
	libSprt_gt_DEBUGCompleteAllQuests							"questcomplete"
	libSprt_gt_DEBUGProgressAllQuests							"questprogress"
	libSprt_gt_DEBUGTeamFightPerfTest							"perftest"
	libSprt_gt_DEBUGToggleJungleCampDebugtogcampdebug			"togcampdebug"
	libSprt_gt_DEBUGUnlockAllyColorSettings						"HeroColor"
	libSprt_gt_DEBUG60SecondPause								"60on"
	libSprt_gt_DEBUGTriggerASave								"-savegame"
	libSprt_gt_DEBUGHeroIsAlive									"-heroalive"
	libSprt_gt_DEBUGShortHeroDeath								"SHORTDEATH"
	libSprt_gt_DEBUGInvulnerableStructures						"invulnerablestructures"
	libSprt_gt_DEBUGGameTime									"GAMETIME"
	libSprt_gt_DEBUGGameTime									"-GT"
	libSprt_gt_DEBUGChooseTalent								"TALENT"
	libSprt_gt_DEBUGChooseTalent								"ult1"
	libSprt_gt_DEBUGChooseTalent								"ult2"
	libSprt_gt_DEBUGChooseTalent								"ult3"
	libSprt_gt_DEBUGXPRange										"XPRange"
	libSprt_gt_DEBUGAfkSystem									"DEBUGAFK"
	libSprt_gt_DEBUGStartDPSTracker								"-dpstracker"
	libSprt_gt_DEBUGClearDPSTrackerStats						"-dpsclear"
	libSprt_gt_DEBUGTemp										"DEBUGTEMP"
	libSprt_gt_DEBUGEnableBuildingScaling						"BUILDINGSCALING"
	libSprt_gt_DEBUGEnableBuildingScaling						"-BUILDINGSCALING"
	libSprt_gt_DEBUGEnabletownhalldetection						"truesight"
	libUIUI_gt_EffectHistoryTest								"test"
	libUIUI_gt_DeathRecapPopulateTest							"recapnow"
	libUIUI_gt_UIDebugPanelSpawnButton							"spawnbutton"
	libUIUI_gt_UIDebugPanelSpawnButton							"sb"
	libUIUI_gt_HelpButtonDebugPosition							"-sss"
	libUIUI_gt_DEBUGNotificationDisplayAnimCheat				"notification"
	libUIUI_gt_KillLogDebugShowPanel							"killlogdebug"
	libUIUI_gt_KillLogDebugShowPanel							"kld"
	libUIUI_gt_UIOnFireDEBUGEnableDisableOnFireDebug			"-debugonfire"
